read_id	protein_id	family	evalue	bitscore	pident	aln_len	taxid	genus	species	source_db
SRR23872596.1038862	A0AAN5C2R9	Cutinase_like	4.71e-06	40.4	44.0	50		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1040645	G1C7H9	AlkB	7.23e-17	70.9	63.5	52		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1046655	A0A1X0BAF1	AlkB	1.96e-13	61.2	60.0	50		Mycobacterium	Mycobacterium aquaticum	UniProt
SRR23872596.1051561	A0A0X8E616	AlkB	2.29e-28	101.0	88.5	52		Microterricola	Microterricola viridarii	UniProt
SRR23872596.1054458	A0AAN5C2R9	Cutinase_like	3.42e-09	49.3	48.0	50		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1056481	A0A917CJ80	AlkB	2.16e-09	49.3	54.0	50		Arenimonas	Arenimonas maotaiensis	UniProt
SRR23872596.1065737	A0ABR7MBV8	AlkB	5.820000000000001e-26	96.3	86.5	52		Flavihumibacter	Flavihumibacter stibioxidans	UniProt
SRR23872596.1070021	A0A0W1R4J3	AlkB	8.21e-13	59.3	50.0	52		Haloprofundus	Haloprofundus marisrubri	UniProt
SRR23872596.1072670	A0A917CJ80	AlkB	2.16e-09	49.3	54.0	50		Arenimonas	Arenimonas maotaiensis	UniProt
SRR23872596.1072719	C7EAT5	AlkB	2.37e-31	105.0	90.6	53		uncultured	uncultured prokaryote	UniProt
SRR23872596.1074097	A0A512N561	AlkB	1.29e-22	86.7	75.5	53		Reyranella	Reyranella soli	UniProt
SRR23872596.1077118	A0ABQ6BMW0	AlkB	8.52e-19	75.9	72.0	50		Brevundimonas	Brevundimonas denitrificans	UniProt
SRR23872596.1077894	A0A2P2GN08	AlkB	1.45e-07	44.7	39.6	53		Streptomyces	Streptomyces showdoensis	UniProt
SRR23872596.1084932	A0A316YF96	Cutinase_like	1.73e-06	41.6	40.4	52		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1084994	A0AAN5C2R9	Cutinase_like	3.47e-12	57.8	56.6	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1085689	A0A316YF96	Cutinase_like	5.6100000000000005e-22	85.5	71.2	52		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1086073	A0AAN5C2R9	Cutinase_like	4.87e-15	65.9	58.5	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1087627	A0AAN5C2R9	Cutinase_like	1.34e-15	67.4	63.5	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1088559	A0AAQ0NAT2	MHETase_like	3.4e-15	66.2	55.8	52		Pseudomonas	Pseudomonas syringae pv. tomato	UniProt
SRR23872596.1089425	G1C7H9	AlkB	2.14e-11	55.5	54.9	51		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1089497	G1C7H9	AlkB	1.03e-13	62.0	57.7	52		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1089541	A0ABQ3GCS7	AlkB	9.05e-13	59.3	50.0	52		Pseudorhodoferax	Pseudorhodoferax aquiterrae	UniProt
SRR23872596.1089583	A0ABQ3GCS7	AlkB	9.05e-13	59.3	50.0	52		Pseudorhodoferax	Pseudorhodoferax aquiterrae	UniProt
SRR23872596.1090183	Q5F4D8	AlkB	4.62e-09	48.9	42.3	52		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.1092494	A0A0A2WB58	Cutinase_like	8.47e-12	56.6	55.8	52		Beauveria	Beauveria bassiana D1-5	UniProt
SRR23872596.1095136	A0A9P5AHW0	Cutinase_like	1.63e-14	64.3	51.9	52		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.1095338	G1C7H9	AlkB	9.92e-17	70.5	71.7	53		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1098450	A0ABQ1SA56	AlkB	2.8800000000000002e-27	98.6	88.7	53		Tsuneonella	Tsuneonella deserti	UniProt
SRR23872596.1098912	A0A0W8IC11	AlkB	1.29e-24	91.7	78.8	52		Serinicoccus	Serinicoccus chungangensis	UniProt
SRR23872596.1101018	A0A5N5E036	Cutinase_like	2.65e-10	52.4	48.0	50		Rhodococcus	Rhodococcus erythropolis (Arthrobacter picolinophilus)	UniProt
SRR23872596.1106602	A0A1H0WAS8	AlkB	4.46e-30	107.0	94.3	53		Lentzea	Lentzea jiangxiensis	UniProt
SRR23872596.1109562	A0AAN5C2R9	Cutinase_like	1.48e-07	44.7	40.7	54		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1113606	A0A316YF96	Cutinase_like	1.09e-16	70.5	60.0	50		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1118248	A0A1X0BAF1	AlkB	3.23e-06	40.8	44.2	52		Mycobacterium	Mycobacterium aquaticum	UniProt
SRR23872596.1121660	A9CMS7	AlkB	2.09e-19	78.2	72.0	50		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.1128005	A0AAN5C2R9	Cutinase_like	6.12e-09	48.5	40.4	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1128697	A9CMS7	AlkB	1.05e-13	62.0	56.0	50		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.1129722	A0A1B4FCM4	AlkB	1.23e-19	78.6	70.0	50		Burkholderia	Burkholderia mayonis	UniProt
SRR23872596.1132479	A0A6I6GFT3	AlkB	2.62e-28	101.0	82.7	52		Phnomibacter	Phnomibacter ginsenosidimutans	UniProt
SRR23872596.1134343	A0AAN5C2R9	Cutinase_like	1.99e-13	61.2	51.9	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1137179	A0AAN5C2R9	Cutinase_like	1.04e-10	53.5	53.8	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1137244	A0A2M8P0X2	Cutinase_like	1.31e-06	42.0	47.2	53		Candidatus	Candidatus Thermofonsia Clade 1 bacterium	UniProt
SRR23872596.1138492	A0A9W6J5G5	AlkB	4.12e-18	74.3	71.2	52		Hansschlegelia	Hansschlegelia plantiphila	UniProt
SRR23872596.1142491	A0ABQ2T5D6	AlkB	1.83e-13	60.1	56.9	51		Streptomyces	Streptomyces badius	UniProt
SRR23872596.1143032	A0ABC9YYI6	AlkB	8.29e-27	97.4	86.5	52		Nocardia	Nocardia seriolae	UniProt
SRR23872596.1146163	A0A316YF96	Cutinase_like	4.66e-06	40.4	45.3	53		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1146530	G1C7H9	AlkB	3.83e-17	71.6	68.6	51		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1147575	A0A316YF96	Cutinase_like	6.17e-12	57.0	51.9	54		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1150540	A0A0P8X0D6	Cutinase_like	9.47e-10	50.8	51.9	52		Pseudomonas	Pseudomonas fluorescens	UniProt
SRR23872596.1150848	G1C7H9	AlkB	9.8e-21	81.6	71.7	53		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1152410	Q5F4D8	AlkB	4.63e-06	40.4	42.3	52		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.1152726	A0A7T2W014	AlkB	6.22e-19	74.7	72.0	50		Delftia	Delftia acidovorans (Pseudomonas acidovorans) (Comamonas acidovorans)	UniProt
SRR23872596.1155520	A0AAN5C2R9	Cutinase_like	8.38e-09	48.1	47.1	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1156735	G1C7H9	AlkB	4.69e-20	79.7	76.0	50		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1156860	G1C7H9	AlkB	9.8e-21	81.6	71.7	53		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1157172	A0ABT7S9X4	Cutinase_like	1.42e-10	53.1	54.0	50		Cellulomonas	Cellulomonas edaphi	UniProt
SRR23872596.1157683	A0A3M0I8F1	AlkB	1.15e-19	78.6	71.7	53		Streptomyces	Streptomyces shenzhenensis	UniProt
SRR23872596.1159848	A0A0M8PKR8	AlkB	8.3e-06	39.7	40.7	54		Rhodococcus	Rhodococcus rhodochrous KG-21	UniProt
SRR23872596.1167043	A0A2U1K6F7	AlkB	3.96e-08	46.2	41.2	51		Pueribacillus	Pueribacillus theae	UniProt
SRR23872596.1167945	A0ABN9IQH8	MHETase_like	2.7999999999999998e-24	92.0	80.4	51		Ralstonia	Ralstonia psammae	UniProt
SRR23872596.1169366	A0AAN5C2R9	Cutinase_like	5.81e-11	54.3	49.1	55		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1170943	A0A7S1M4C5	Cutinase_like	2.98e-10	52.0	45.5	55		Neobodo	Neobodo designis (Flagellated protozoan) (Bodo designis)	UniProt
SRR23872596.1174345	A0A0F8AVQ6	AlkB	3.93e-08	46.2	50.0	50		Halorubrum	Halorubrum saccharovorum	UniProt
SRR23872596.1180832	A0AAE6Y585	AlkB	7.7e-11	53.9	41.5	53		Streptomyces	Streptomyces antibioticus	UniProt
SRR23872596.1182048	A0A0W0GAT5	Cutinase_like	8.03e-17	70.9	60.8	51		Moniliophthora	Moniliophthora roreri (Frosty pod rot fungus) (Monilia roreri)	UniProt
SRR23872596.1183465	A0A316YF96	Cutinase_like	3.14e-17	72.0	70.0	50		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1188061	A0A132NE97	AlkB	4.31e-06	40.4	40.0	50		Carbonactinospora	Carbonactinospora thermoautotrophica	UniProt
SRR23872596.1188678	A0A9W6J5G5	AlkB	1.22e-15	67.4	56.9	51		Hansschlegelia	Hansschlegelia plantiphila	UniProt
SRR23872596.1189424	A9CMS7	AlkB	6.0199999999999995e-25	93.6	86.5	52		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.1190367	A0ABY6Y3A1	AlkB	3.32e-23	87.8	75.0	52		Burkholderia	Burkholderia aenigmatica	UniProt
SRR23872596.1190652	G1C7H9	AlkB	2.36e-09	49.7	51.9	52		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1192096	A0A0U3TFK6	AlkB	2.1e-29	104.0	96.2	52		Aeromicrobium	Aeromicrobium erythreum	UniProt
SRR23872596.1193263	A0A8H6D6M8	Cutinase_like	8.86e-12	56.6	51.8	56		Fusarium	Fusarium mundagurra	UniProt
SRR23872596.1194290	A0A0N9I2P4	AlkB	4.41e-06	40.4	42.3	52		Kibdelosporangium	Kibdelosporangium phytohabitans	UniProt
SRR23872596.1194550	A0A0F8AVQ6	AlkB	3.35e-06	40.8	41.2	51		Halorubrum	Halorubrum saccharovorum	UniProt
SRR23872596.1195422	A0A512NG10	AlkB	3.8299999999999997e-28	102.0	96.2	52		Reyranella	Reyranella soli	UniProt
SRR23872596.1197213	A0ABQ2I351	AlkB	6.06e-17	70.9	63.5	52		Dyadobacter	Dyadobacter beijingensis	UniProt
SRR23872596.1197957	A0A9P5AHW0	Cutinase_like	1.28e-09	50.4	45.3	53		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.1199705	A0A0T6LQN8	AlkB	4.24e-22	85.1	75.5	53		Wenjunlia	Wenjunlia vitaminophila (Streptomyces vitaminophilus)	UniProt
SRR23872596.1199731	A0A512NG10	AlkB	3.8299999999999997e-28	102.0	96.2	52		Reyranella	Reyranella soli	UniProt
SRR23872596.1204562	A0ABV6FXK7	AlkB	5.17e-14	62.8	51.0	51		Fontibacter	Fontibacter flavus	UniProt
SRR23872596.1205755	A0A8H5WTA5	Cutinase_like	1.23e-17	73.2	60.0	50		Fusarium	Fusarium denticulatum	UniProt
SRR23872596.1205899	A0A2A5WCH4	Cutinase_like	2.37e-12	58.2	55.8	52		OM182	OM182 bacterium MED-G28	UniProt
SRR23872596.1206239	A0A0S3F2T7	AlkB	8.3e-06	39.7	44.4	54		Sphingobium	Sphingobium baderi	UniProt
SRR23872596.1206366	A0A0S3F2T7	AlkB	8.3e-06	39.7	44.4	54		Sphingobium	Sphingobium baderi	UniProt
SRR23872596.1206812	A0ABQ1HDS1	AlkB	3.4399999999999997e-23	88.2	70.6	51		Arenimonas	Arenimonas soli	UniProt
SRR23872596.1211362	A0AAN5C2R9	Cutinase_like	3.83e-16	68.9	67.3	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1212644	A0AAN5C2R9	Cutinase_like	4.87e-15	65.9	56.6	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1218002	A0A1X1UCC7	AlkB	1.31e-06	42.0	44.0	50		Mycobacterium	Mycobacterium florentinum	UniProt
SRR23872596.1218837	A0A0H4LHB2	AlkB	5.04e-20	74.7	69.2	52		Pseudomonas	Pseudomonas putida (Arthrobacter siderocapsulatus)	UniProt
SRR23872596.1223428	A0A9W6N1A9	AlkB	6.71e-10	51.2	47.1	51		Ancylobacter	Ancylobacter dichloromethanicus	UniProt
SRR23872596.1223848	A0AAN5C2R9	Cutinase_like	1.75e-09	50.1	44.2	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1224931	A0A9W6N1A9	AlkB	6.71e-10	51.2	47.1	51		Ancylobacter	Ancylobacter dichloromethanicus	UniProt
SRR23872596.1225629	A0A9W6N1A9	AlkB	3.39e-26	96.3	88.5	52		Ancylobacter	Ancylobacter dichloromethanicus	UniProt
SRR23872596.1233190	A0ABW3HCW7	AlkB	3.41e-06	40.8	41.8	55		Paraperlucidibaca	Paraperlucidibaca wandonensis	UniProt
SRR23872596.1233754	A0A515DF95	AlkB	1.06e-20	79.3	64.7	51		Rhodoferax	Rhodoferax sediminis	UniProt
SRR23872596.1236130	A0A1S9RVN2	Cutinase_like	7.43e-19	76.6	63.0	54		Penicillium	Penicillium brasilianum	UniProt
SRR23872596.1240945	A0A917Q8D6	AlkB	5.85e-15	65.5	59.6	52		Salinarimonas	Salinarimonas ramus	UniProt
SRR23872596.1248822	A0A316YF96	Cutinase_like	8.69e-20	79.3	67.9	53		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1250416	A0A254U2U8	Cutinase_like	3.04e-08	46.6	44.1	59		Aspergillus	Aspergillus niger	UniProt
SRR23872596.1251666	A0ABM8TU52	MHETase_like	3.39e-09	49.3	45.6	57		Cupriavidus	Cupriavidus numazuensis	UniProt
SRR23872596.1251782	A0AAN5C2R9	Cutinase_like	2.61e-15	66.6	61.5	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1254732	A0AAN5C2R9	Cutinase_like	1.36e-12	58.9	53.8	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1254860	A0A316YF96	Cutinase_like	7.12e-16	68.2	64.7	51		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1255221	A0A0F9MT65	Cutinase_like	5.28e-19	77.0	65.4	52		marine	marine sediment metagenome	UniProt
SRR23872596.1255365	A9CMS7	AlkB	7.7e-14	62.4	54.5	55		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.1255589	A0AAE6Y585	AlkB	1.95e-19	77.8	62.3	53		Streptomyces	Streptomyces antibioticus	UniProt
SRR23872596.1258989	A0A7K0BXE1	MHETase_like	2.29e-17	72.4	64.0	50		Actinomadura	Actinomadura macrotermitis	UniProt
SRR23872596.1260570	A0A176YNM9	AlkB	3.98e-11	54.7	51.9	52		Bradyrhizobium	Bradyrhizobium centrolobii	UniProt
SRR23872596.1261196	A0ABQ4SDE2	MHETase_like	8.98e-18	73.6	63.5	52		Methylobacterium	Methylobacterium isbiliense	UniProt
SRR23872596.1261525	A0ABM8C2J5	AlkB	3.2500000000000003e-21	82.4	75.0	52		Massilia	Massilia varians	UniProt
SRR23872596.1264010	A0A679JSQ1	MHETase_like	4.62e-20	80.1	71.7	53		Variovorax	Variovorax paradoxus	UniProt
SRR23872596.1264159	A0A9P5AHW0	Cutinase_like	1.15e-08	47.8	43.1	51		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.1265077	A0A316YF96	Cutinase_like	3.36e-23	89.0	78.8	52		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1266927	A0A6L6XVY0	Cutinase_like	3.26e-09	49.3	46.2	52		Nocardioides	Nocardioides agri	UniProt
SRR23872596.1271014	A0AAN5C2R9	Cutinase_like	1.48e-07	44.7	44.2	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1272172	A0A316YF96	Cutinase_like	7.48e-08	45.4	45.1	51		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.1273961	A0A3G9IX35	AlkB	5.36e-19	76.6	67.9	53		Paenibacillus	Paenibacillus baekrokdamisoli	UniProt
SRR23872596.1275452	A0A0B4FG01	Cutinase_like	1.65e-11	55.8	48.1	52		Metarhizium	Metarhizium anisopliae (strain ARSEF 549)	UniProt
SRR23872596.1277304	A0AAP8QDB7	AlkB	7.76e-15	65.1	54.9	51		Brevibacillus	Brevibacillus laterosporus (Bacillus laterosporus)	UniProt
SRR23872596.1278405	A0A2Z4LX63	Cutinase_like	1.61e-17	72.8	68.6	51		Flagellimonas	Flagellimonas maritima	UniProt
SRR23872596.1278560	Q5F4D8	AlkB	1.06e-07	45.1	42.3	52		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.1282059	A0AAN5C2R9	Cutinase_like	9.49e-13	59.3	52.9	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1283290	A0ABQ1I328	AlkB	5.69e-10	50.8	47.2	53		Agarivorans	Agarivorans gilvus	UniProt
SRR23872596.1284768	A0A1X0BAF1	AlkB	6.93e-13	59.7	55.8	52		Mycobacterium	Mycobacterium aquaticum	UniProt
SRR23872596.1284798	Q5F4D8	AlkB	2.79e-13	60.8	54.0	50		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.1290288	A0A6S7BQ61	MHETase_like	3.3e-12	57.8	45.3	53		Paraburkholderia	Paraburkholderia ultramafica	UniProt
SRR23872596.1291171	A0A640TPP2	AlkB	5.72e-11	54.3	48.0	50		Streptomyces	Streptomyces nigrescens	UniProt
SRR23872596.1296390	A0AAN5C2R9	Cutinase_like	2.05e-16	69.7	63.5	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1297303	A0A1Z5KA76	AlkB	5.76e-11	54.3	47.1	51		Fistulifera	Fistulifera solaris (Oleaginous diatom)	UniProt
SRR23872596.1298267	A0A7W7QPZ7	PETase_like	1.7000000000000002e-22	86.3	80.8	52		Streptosporangium	Streptosporangium saharense	UniProt
SRR23872596.1298378	A0AAN5C2R9	Cutinase_like	1.77e-12	58.5	48.1	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1298955	A0A2S0WMZ0	AlkB	4.81e-29	103.0	100.0	52		Aeromicrobium	Aeromicrobium chenweiae	UniProt
SRR23872596.1299235	A0A132NE97	AlkB	1.81e-07	44.3	44.0	50		Carbonactinospora	Carbonactinospora thermoautotrophica	UniProt
SRR23872596.1299437	A0AAE5RWI6	AlkB	2.99e-23	85.9	75.0	52		Agrobacterium	Agrobacterium rosae	UniProt
SRR23872596.1300531	A0AAP8QDB7	AlkB	1.9e-07	44.3	47.1	51		Brevibacillus	Brevibacillus laterosporus (Bacillus laterosporus)	UniProt
SRR23872596.1306555	A0A318LRJ6	AlkB	2.9e-11	55.1	54.0	50		Prauserella	Prauserella flavalba	UniProt
SRR23872596.1306604	J4UWC3	Cutinase_like	2.62e-07	43.9	36.5	52		Beauveria	Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	UniProt
SRR23872596.1307445	A0AAN5C2R9	Cutinase_like	8.84e-06	39.7	42.3	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1312049	A0A101N0H2	AlkB	5.18e-24	90.1	75.5	53		Streptomyces	Streptomyces pseudovenezuelae	UniProt
SRR23872596.1312868	A0ABW3HCW7	AlkB	9.86e-13	59.3	55.8	52		Paraperlucidibaca	Paraperlucidibaca wandonensis	UniProt
SRR23872596.1313777	A0AAP8QDB7	AlkB	4.53e-18	73.9	64.0	50		Brevibacillus	Brevibacillus laterosporus (Bacillus laterosporus)	UniProt
SRR23872596.1314859	A0A6V7C0V6	MHETase_like	2.22e-14	63.9	56.9	51		Xanthomonas	Xanthomonas hortorum pv. pelargonii	UniProt
SRR23872596.1318811	A0A9W6J5G5	AlkB	3.15e-15	66.2	64.0	50		Hansschlegelia	Hansschlegelia plantiphila	UniProt
SRR23872596.1318947	A0A9P5AHW0	Cutinase_like	1.52e-13	61.6	49.0	51		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.1323273	A0A068SVA1	AlkB	2.39e-23	85.9	78.8	52		Neorhizobium	Neorhizobium galegae bv. orientalis str. HAMBI 540	UniProt
SRR23872596.1330251	A0ABR6U946	Cutinase_like	1.29e-12	58.9	51.9	52		Nocardioides	Nocardioides deserti	UniProt
SRR23872596.1330682	G1C7R7	AlkB	5.5e-18	70.1	58.8	51		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1331901	A0A975NAZ0	AlkB	2.12e-24	89.0	80.8	52		Bradyrhizobium	Bradyrhizobium sediminis	UniProt
SRR23872596.1335039	A0A4R7NZR6	AlkB	1.31e-28	102.0	86.8	53		Panacagrimonas	Panacagrimonas perspica	UniProt
SRR23872596.1342061	A0A8H5WTA5	Cutinase_like	1.08e-07	45.1	43.4	53		Fusarium	Fusarium denticulatum	UniProt
SRR23872596.1344450	A0A1S8ATA1	AlkB	7.38e-11	53.9	52.9	51		Natrinema	Natrinema saccharevitans	UniProt
SRR23872596.1345697	A0A8S0XI19	AlkB	4.12e-11	54.7	54.9	51		Candidatus	Candidatus Methylobacter favarea	UniProt
SRR23872596.1347111	A0A538SMW8	Cutinase_like	8.8e-15	63.9	60.4	53		Eiseniibacteriota	Eiseniibacteriota bacterium	UniProt
SRR23872596.1347457	A0A3Q9UUP3	AlkB	3.34e-24	90.5	80.8	52		Rathayibacter	Rathayibacter festucae DSM 15932	UniProt
SRR23872596.1348683	A0A922NQS1	Cutinase_like	1.83e-06	41.6	35.8	53		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.1349346	A0A0P8X0D6	Cutinase_like	4.6e-06	40.4	40.4	52		Pseudomonas	Pseudomonas fluorescens	UniProt
SRR23872596.1352142	A0A9W9EYN0	Cutinase_like	7.41e-25	92.4	81.1	53		Penicillium	Penicillium argentinense	UniProt
SRR23872596.1352379	A0A318E317	AlkB	8.27e-17	70.9	51.9	52		Sinimarinibacterium	Sinimarinibacterium flocculans	UniProt
SRR23872596.1352931	A0A922NQS1	Cutinase_like	7.25e-13	59.7	55.8	52		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.1354148	A0A099F6W3	AlkB	4.69e-26	95.5	90.4	52		Paracoccus	Paracoccus halophilus	UniProt
SRR23872596.1354359	A0A6J4ZXS4	MHETase_like	4.82e-18	74.3	63.5	52		Paraburkholderia	Paraburkholderia sediminicola	UniProt
SRR23872596.1356061	A0A917Q8D6	AlkB	5.92e-29	103.0	86.5	52		Salinarimonas	Salinarimonas ramus	UniProt
SRR23872596.1358809	Q5F4D8	AlkB	6.34e-06	40.0	36.5	52		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.1362167	A0AAN5C2R9	Cutinase_like	7.77e-14	62.4	60.8	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1362235	A0AAN5C2R9	Cutinase_like	7.89e-08	45.4	43.1	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1363801	A0A554WIU4	MHETase_like	1.56e-19	78.6	70.6	51		Tepidimonas	Tepidimonas aquatica	UniProt
SRR23872596.1367436	A0A0G4NCV0	Cutinase_like	5.49e-08	45.8	47.1	51		Verticillium	Verticillium longisporum (Verticillium dahliae var. longisporum)	UniProt
SRR23872596.1368544	A0A0X3XA00	AlkB	4.03e-21	82.4	72.5	51		Streptomyces	Streptomyces violaceusniger	UniProt
SRR23872596.1373237	A0A318LRJ6	AlkB	7.76e-11	53.9	43.4	53		Prauserella	Prauserella flavalba	UniProt
SRR23872596.1374278	A0A074K8M8	Cutinase_like	5.79e-17	71.2	66.0	50		Thioclava	Thioclava indica	UniProt
SRR23872596.1374515	A0A254U084	Cutinase_like	2.51e-06	41.2	44.0	50		Aspergillus	Aspergillus niger	UniProt
SRR23872596.1376857	A0A0P8X0D6	Cutinase_like	2.4899999999999998e-23	88.2	71.2	52		Pseudomonas	Pseudomonas fluorescens	UniProt
SRR23872596.1377307	A0A286RH75	Cutinase_like	5.68e-08	45.8	45.1	51		Thermogutta	Thermogutta terrifontis	UniProt
SRR23872596.1382015	A0A9P5AHW0	Cutinase_like	2.66e-10	52.4	48.1	52		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.1385654	A0ABX3AU41	AlkB	1.13e-08	47.8	46.0	50		Aliivibrio	Aliivibrio logei 5S-186	UniProt
SRR23872596.1386779	A0A922NQS1	Cutinase_like	5.76e-08	45.8	43.1	51		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.1387059	A0ABQ1THA2	AlkB	4.75e-20	79.3	72.0	50		Flavobacterium	Flavobacterium limi	UniProt
SRR23872596.1387342	A0A916SVV4	AlkB	9.84e-14	62.0	55.8	52		Gordonia	Gordonia jinhuaensis	UniProt
SRR23872596.1387799	A0ABX3AU41	AlkB	1.13e-08	47.8	46.0	50		Aliivibrio	Aliivibrio logei 5S-186	UniProt
SRR23872596.1388667	A0A517L0X3	Cutinase_like	1.29e-17	73.2	63.5	52		Venturia	Venturia effusa	UniProt
SRR23872596.1395582	D1MBV2	AlkB	3.19e-26	92.0	79.2	53		Gordonia	Gordonia sputi	UniProt
SRR23872596.1397901	A0A922NQS1	Cutinase_like	6.81e-07	42.7	46.0	50		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.1399498	A0A5Q2FFQ5	Cutinase_like	8.85e-06	39.7	50.0	52		Raineyella	Raineyella fluvialis	UniProt
SRR23872596.1401525	A0ABW3HCW7	AlkB	3.39e-09	49.3	46.0	50		Paraperlucidibaca	Paraperlucidibaca wandonensis	UniProt
SRR23872596.1405346	A0AAN5C2R9	Cutinase_like	6.94e-13	59.7	55.8	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.1406843	A0A0P9CMX4	AlkB	5.01e-13	60.1	58.5	53		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.1407428	A9CMS7	AlkB	3.02e-20	80.5	68.6	51		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.1409457	A0ABW0JGG9	AlkB	2.3800000000000001e-26	94.0	82.7	52		Rhodanobacter	Rhodanobacter umsongensis	UniProt
SRR23872596.1411025	G1C7H9	AlkB	3e-18	74.7	68.0	50		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.1413727	A0ABQ3C797	AlkB	7.66e-16	66.2	64.0	50		Cognatilysobacter	Cognatilysobacter xinjiangensis	UniProt
SRR23872596.1415530	A0AAN5C2R9	Cutinase_like	3.41e-15	66.2	63.5	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
